City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,70.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
1,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Saldanha,ZA,73.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
3,Hermanus,ZA,70.0,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
4,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
5,Samarai,PG,84.94,moderate rain,-10.6167,150.6667,Nuli Sapi
8,Georgetown,MY,77.0,light rain,5.4112,100.3354,Cititel Penang
11,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,Pension Maro'i
12,Bengkulu,ID,77.94,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
16,Faanui,PF,81.61,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Sinnamary,GF,77.52,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
23,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
31,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Hotel Cortez
33,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
37,Axim,GH,79.16,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
38,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
39,Tautira,PF,89.6,light rain,-17.7333,-149.15,Pension Oaoa
41,East London,ZA,72.88,light rain,-33.0153,27.9116,Tu Casa
42,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Atuona,PF,77.94,scattered clouds,-9.8,-139.0333,Villa Enata
46,Meulaboh,ID,76.95,overcast clouds,4.1363,96.1285,Kost Pria
49,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
51,Kruisfontein,ZA,70.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
54,Mataura,NZ,78.51,clear sky,-46.1927,168.8643,Ellie's Villa
63,Medeiros Neto,BR,71.82,clear sky,-17.3739,-40.2206,Pousada Visgueira
65,Hobart,AU,70.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
68,Ugoofaaru,MV,79.84,light rain,5.6667,73.0,Ungoofaaru Inn
69,Namibe,AO,71.89,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
72,Saint-Pierre,RE,78.8,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
75,Kununurra,AU,87.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
77,Sechura,PE,74.14,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
79,Sao Jose Da Coroa Grande,BR,78.12,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
81,Pedasi,PA,79.9,broken clouds,7.5333,-80.0333,Selina Pedasi
89,Kapaa,US,80.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
90,Ahipara,NZ,74.34,clear sky,-35.1667,173.1667,Ahipara Holiday Park
96,Namatanai,PG,85.19,overcast clouds,-3.6667,152.4333,Namatanai Hotel
97,Airai,TL,72.97,overcast clouds,-8.9266,125.4092,Juvinal Martin
99,Labuhan,ID,79.52,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
101,Beira,MZ,79.5,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
103,Sao Filipe,CV,71.85,broken clouds,14.8961,-24.4956,Tortuga B&B
105,Hervey Bay,AU,84.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
106,Poum,NC,82.17,moderate rain,-20.2333,164.0167,Gîte kajeon
107,Kang,BW,76.26,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
110,Cabo San Lucas,MX,71.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
114,Carnarvon,AU,78.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
117,Padang,ID,79.74,broken clouds,-0.9492,100.3543,Mercure Padang
119,Hithadhoo,MV,82.08,broken clouds,-0.6,73.0833,Scoop Guest House
120,La Asuncion,VE,76.41,broken clouds,11.0333,-63.8628,Colinas de Matasiete
123,Kavieng,PG,85.23,few clouds,-2.5744,150.7967,Nusa Island Retreat
124,Port Blair,IN,78.08,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
126,Broken Hill,AU,71.6,clear sky,-31.95,141.4333,Royal Exchange Hotel
127,Harper,LR,78.19,light rain,4.375,-7.7169,Screensaver
129,Cockburn Town,TC,77.94,clear sky,21.4612,-71.1419,Osprey Beach Hotel
131,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
132,Camacari,BR,82.4,scattered clouds,-12.6975,-38.3242,Sítio Blasi
133,Carutapera,BR,78.4,overcast clouds,-1.195,-46.02,Lidera
135,Kaeo,NZ,79.0,clear sky,-35.1,173.7833,Bushido Lodge
137,Bonthe,SL,78.51,clear sky,7.5264,-12.505,Bonthe Holiday Village
138,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
143,Rodrigues Alves,BR,74.86,overcast clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
144,Santa Rosa,PH,80.01,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
151,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
152,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,Romin
155,Payakumbuh,ID,71.02,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
156,Arraial Do Cabo,BR,76.24,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
158,Hambantota,LK,75.2,broken clouds,6.1241,81.1185,Bungalow 63
159,Guaruja,BR,81.0,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
164,Butaritari,KI,81.52,clear sky,3.0707,172.7902,Isles Sunset Lodge
165,Quelimane,MZ,75.2,clear sky,-17.8786,36.8883,Hotel Flamingo
166,Isla Mujeres,MX,73.0,light rain,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
170,Cidreira,BR,70.7,few clouds,-30.1811,-50.2056,Hotel Castelo
174,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
178,Mareeba,AU,81.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
179,Hualmay,PE,70.74,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
181,Tarauaca,BR,75.07,overcast clouds,-8.1614,-70.7656,Flat Temporada
188,Pitangui,BR,70.14,light rain,-19.6828,-44.8903,Pousada Monsenhor Vicente
191,Kahului,US,84.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
192,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
193,Paita,PE,72.1,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
194,Ambilobe,MG,74.89,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
197,Grand Baie,MU,75.99,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
209,Santarem,BR,80.6,few clouds,-2.4431,-54.7083,Hotel Imperador
210,Port-Gentil,GA,78.82,overcast clouds,-0.7193,8.7815,Fengshui Residence
212,Sao Joao Da Barra,BR,76.3,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
217,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Lua Mansa Pousada
219,Lazaro Cardenas,MX,77.47,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
220,Catia La Mar,VE,78.8,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
243,Nelson Bay,AU,82.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
247,Lat Yao,TH,70.0,clear sky,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
248,Porangatu,BR,73.87,light rain,-13.4408,-49.1486,Wembley Park Hotel
249,Vao,NC,77.56,light rain,-22.6667,167.4833,Hotel Kou-Bugny
251,Makakilo City,US,82.4,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
253,Impfondo,CG,73.06,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
258,Kalmunai,LK,75.33,overcast clouds,7.4167,81.8167,VS Villa
259,Mercedes,AR,71.01,clear sky,-34.6515,-59.4307,Posada del Inti Centro
